ID,Language,Lemma,Lemma_en,POS,Definition,Definition_en,Example,Example_en,HurtLex_category,HurtLex_category_full,Definition_ID
AR691,Arabic,أبله,fool,adj,شخص شديد الغباء والسذاجة,A person who is extremely stupid and naive.,لا تكن أبله وتصدق كل ما يقال لك.,Don't be foolish and believe everything you are told.,cds,derogatory_words,1
AR223,Arabic,أتان,donkey,noun,شتيمة للمرأة تصفها بالغباء أو العناد,An insult for a woman describing her as stupid or stubborn.,إنها عنيدة مثل الأتان.,She is as stubborn as a mule.,an,animals,2
AR1221,Arabic,أجير,hiredhand,noun,"شخص يعمل لمصلحة غيره بلا مبدأ، مرتزق","A person who works for someone else's interest without principles, a mercenary.",هذا الكاتب مجرد أجير يكتب لمن يدفع له.,This writer is merely a hired hand who writes for whoever pays him.,pa,professions_and_occupations,3
AR2616,Arabic,أحمق,fool,adj,وصف لشخص قليل العقل والتفكير,A description of a person who is lacking in intelligence and thought.,"لا تستمع إليه، إنه رجل أحمق.",Don't listen to him; he is a foolish man.,ddp,cognitive_disabilities_and_diversity,4
AR2302,Arabic,أراجوز,puppet,noun,شخص تافه يتلاعب به الآخرون,A trivial person manipulated by others.,لقد كان مجرد أراجوز في أيديهم.,He was merely a puppet in their hands.,dmc,moral_and_behavioral_defects,5
AR868,Arabic,أرنب,rabbit,noun,وصف للرجل الجبان الذي يخشى المواجهة,A description of the cowardly man who fears confrontation.,هرب من المشكلة مثل الأرنب.,He ran away from the problem like a rabbit.,an,animals,6
AR2460,Arabic,أسود,black,adj,تستخدم أحياناً كإهانة عنصرية للإشارة إلى لون البشرة,It is sometimes used as a racist insult to refer to skin color.,"ناداه بـ ""يا أسود"" بقصد إهانته.","He called him ""Hey, lion"" with the intention of insulting him.",ps,negative_stereotypes_ethnic_slurs,7
AR1397,Arabic,أصولية,fundamentalist,noun,وصف ازدرائي لشخص متشدد في أفكاره الدينية أو السياسية,A derogatory description of a person who is rigid in their religious or political beliefs.,"أفكاره رجعية، فهو شخصية أصولية.",His ideas are reactionary; he is a fundamentalist figure.,cds,derogatory_words,8
AR94,Arabic,أضحوكة,laughingstock,noun,شخص أو شيء مثير للسخرية الشديدة,A person or thing worthy of severe ridicule.,"بسبب تصرفاته الغريبة، أصبح أضحوكة البلدة.","Because of his strange behavior, he became the laughingstock of the town.",cds,derogatory_words,9
AR383,Arabic,أعرابي,bedouin,noun,وصف يستخدم للتقليل من شأن شخص واعتباره بدائياً أو غير متحضر,A description used to belittle a person and consider them primitive or uncivilized.,يتصرف كالأعرابي الجاهل.,He behaves like an ignorant Bedouin.,ps,negative_stereotypes_ethnic_slurs,10
AR2477,Arabic,أعرج,lame,adj,إهانة تستخدم عيباً جسدياً للتحقير أو الإشارة إلى خلل ما,An insult that uses a physical defect to belittle or indicate a flaw.,خطته كلها عرجاء ولن تنجح.,His entire plan is flawed and will not succeed.,ddf,physical_disabilities_and_diversity,11
AR2461,Arabic,أعمى,blind,adj,"شخص يرفض رؤية الحقيقة، جاهل عن عمد","A person who refuses to see the truth, deliberately ignorant.",إنه أعمى البصيرة لا يرى فساده.,He is blind to insight and does not see his corruption.,ddf,physical_disabilities_and_diversity,12
AR2316,Arabic,أفسد,corrupt,verb,فعل يصف إلحاق الضرر الأخلاقي أو المادي,A verb that describes causing moral or physical harm.,لقد أفسد الشباب بأفكاره المسمومة.,The youth have been corrupted by his poisonous ideas.,qas,with_potential_negative_connotations,13
AR2290,Arabic,أفعى,snake,noun,وصف لشخص غادر وماكر وخبيث,"A description of a person who is treacherous, cunning, and malicious.","احذر منها، إنها أفعى سامة.","Beware of her, she is a venomous snake.",an,animals,14
AR390,Arabic,أكذوبة,lie,noun,"شيء غير حقيقي بالكامل، أو شخص حياته قائمة على الكذب","Something completely unreal, or a person whose life is based on lies.",كل وعوده كانت أكذوبة كبيرة.,All his promises were a big lie.,qas,with_potential_negative_connotations,15
AR125,Arabic,أمي,illiterate,noun,"شخص جاهل أو قليل المعرفة، ليس فقط من لا يقرأ ويكتب",An ignorant or poorly informed person is not only someone who cannot read or write.,إنه أمي في السياسة لا يفقه شيئاً.,My mother knows nothing about politics.,ddp,cognitive_disabilities_and_diversity,16
AR591,Arabic,أناني,selfish,noun,شخص لا يهتم إلا بمصلحته الشخصية على حساب الآخرين,A person who cares only about their own interests at the expense of others.,هو شخص أناني لا يفكر إلا في نفسه.,He is a selfish person who only thinks about himself.,cds,derogatory_words,17
AR165,Arabic,أنعام,cattle,noun,وصف مهين لمجموعة من الناس بأنهم كالبهائم لا يفكرون,An insulting description of a group of people as beasts who do not think.,الجماهير تسير خلفه كالأنعام.,The masses follow him like cattle.,ddp,cognitive_disabilities_and_diversity,18
AR728,Arabic,أوباش,scoundrels,noun,مجموعة من الناس المنحطين أخلاقياً وسلوكياً,A group of morally and behaviorally depraved people.,هؤلاء الأوباش سبب كل المشاكل.,These scoundrels are the cause of all the problems.,ddp,cognitive_disabilities_and_diversity,19
AR2211,Arabic,أوزة,goose,noun,إهانة لامرأة توصف بالغباء أو السذاجة,An insult to a woman described as stupid or naive.,لا تكوني أوزة وتصدقي كلامه المعسول.,Don't be a goose and believe his sweet talk.,an,animals,20
AR795,Arabic,أير,dick,noun,"كلمة بذيئة جداً تشير إلى العضو الذكري، وتستخدم كشتيمة قاسية","A very vulgar word referring to the male genitalia, used as a harsh insult.",توقف عن التصرف كالأير.,Stop acting like the air.,asm,male_genitalia,21
AR2585,Arabic,إبن آوى,jackal,noun,وصف لشخص انتهازي وجبان وماكر,"A description of a person who is opportunistic, cowardly, and cunning.","إنه مثل ابن آوى، يهاجم فقط عندما يكون خصمه ضعيفاً.","He is like a jackal, attacking only when his opponent is weak.",an,animals,22
AR1268,Arabic,إثم,sin,noun,خطيئة أو ذنب عظيم,A great sin or offense.,حياتك مليئة بالآثام.,Your life is full of sins.,dmc,moral_and_behavioral_defects,23
AR2492,Arabic,إختطاف,kidnapping,noun,أخذ شخص بالقوة واحتجازه رغماً عنه,Forcibly taking a person and detaining them against their will.,جريمة اختطاف الأطفال هزت المدينة.,The child kidnapping crime shook the city.,re,felonies_and_words_related_to_crime_and_immoral_behavior,24
AR2553,Arabic,إختلس,embezzle,verb,سرقة المال المؤتمن عليه بخفية وخيانة,Stealing entrusted money secretly and betrayal,اختلس الموظف أموال الشركة وهرب.,The employee embezzled the company's funds and fled.,re,felonies_and_words_related_to_crime_and_immoral_behavior,25
AR2670,Arabic,إرهاب,terrorism,noun,ترويع الآمنين وإخافتهم لتحقيق أهداف سياسية,Terrorizing and frightening civilians to achieve political goals.,الإرهاب جريمة ضد الإنسانية.,Terrorism is a crime against humanity.,re,felonies_and_words_related_to_crime_and_immoral_behavior,26
AR1773,Arabic,إزدراء,disdain,noun,النظر إلى شخص أو شيء بدونية واحتقار,Looking at a person or thing with disdain and contempt,نظر إليه بازدراء بسبب فقره.,He was looked down upon because of his poverty.,cds,derogatory_words,27
