Global_Sesne,Target,POS,Arabic_lemmas,Arabic_Definition_IDs,Bulgarian_lemmas,Bulrgarian_Definition_IDs,Greek_lemmas,Greek_Definition_IDs,French_lemmas,French_Definition_IDs,Italian_lemmas,Italian_Definition_IDs,
Insult targeting a stupid person/ stupidity,Person,NOUN,"[سخيف,مهرج,حَشَرة,حمار(animal),خروف(animal),نعجة(animal),تابع,ساذج,أراجوز,عامي,عتال,تخلفعقلي,أمي,تيس(animal),منغولي,ماعز(animal]","[179,397,131,127,145,413,77,175,5,208,214,83,16,102,395,320,239,432,375,71,107,73]","[тъпак, тъпак, тъпанар, тиква, тъпанар, гъска (animal), глупак, гъска (animal), глупак, лековерник, дангалак, бавно загряващ човек, балама, малоумник, абдал, бавно загряващ човек, овца (animal), бебе, абдал, бавно загряващ човек, овца (animal), бебе, абдал, муле (animal), кретен, вол (animal), идиот, шибаняк, наивник, шибаняк, будала, наивник, галфон, теле (animal), ташак, кретен]","[997, 998, 999, 988, 1000, 553, 541, 553, 541, 700, 554, 456, 457, 724, 441, 455, 828, 470, 441, 455, 828, 470, 440, 754, 679, 524, 615, 1065, 775, 1066, 498, 776, 534, 982, 981, 690]","[παπάρα, βλαξ, τούβλο, βλάκας, κρετίνος, μαλάκας, μπούφος, κολοκύθα, κούτσουρο, κορόιδο, κουτορνίθι (animal), όρνιο (animal), παπάρι, βλακέντιος, παλιάτσος, ψάρι (animal), κουτάβι (animal), πρόβατο (animal), παπάρα]","[1854, 1321, 2024, 1316, 1651, 1714, 1787, 1614, 1648, 1635, 1631, 1637, 2179, 1501, 1318, 1842, 2149, 1634, 1856]","[con, abruti, débile, imbécile, stupide, idiot, bêta, imbécile, imbécile, bête, abruti, idiot, con, retard, connard, conne, tocard, demeuré, simple, idiot, pigeon (animal), moutons (animal), connard]","[2258, 2186, 2284, 2350, 2448, 2342, 2230, 2347, 2349, 2233, 2185, 2343, 2256, 2431, 2260, 2263, 2456, 2277, 2444, 2341, 2404, 2385, 2259]","[scemo, cretino, imbecille, pirla, idiota, coglione, coglione, minchia, deficiente, mona, bestia (animal), capra (animal), pollo (animal), pecora (animal), pesce (animal), stronzo, animale (animal)]","[2746, 2594, 2658, 2718, 2645, 2585, 2586, 2691, 2606, 2694, 2546, 2648, 2723, 2716, 2717, 2758, 2525]",
,,ADJ,"[أبله , مجرم, معاق, مغفل, أحمق]","[352, 373, 1, 382, 4]","[тъп, глупав, лековерен, неразумен, овчи, сляп, безразсъден, овчи, сляп, безразсъден]","[996, 540, 699, 809, 830, 955, 480, 830, 955, 480]","[ηλίθιος, κουτός, χαζός, καθυστερημένος, ανόητος, μικρόνους, αφελής, αγαθιάρης, εύπιστος, βραδύνους, ηλίθιος]","[1499, 1643, 2127, 1533, 1217, 1762, 1282, 1119, 1480, 1324, 1500]","[idiot, bêta, stupide, imbécile, stupide, stupide]","[2344, 2231, 2445, 2346, 2446, 2447]","[idiota, imbecille, scemo, stupido,","[2646, 2659, 2747, 2762",
,Behavior/ Abstract Idea,NOUN,"[جهل,نكتة,فقر,تخلف,جهالة,لغو,غباء,سذاجة,خزعبلات,هزلي,عبث,حماقة,عته,بلادة,غلطات,غباوة]","[119,415,268,82,118,308,237,180,146,424,211,128,215,72,248,238]","[[глупост, безсмислие, тъпота, увреден мозък, безсмислие, тъпота, увреден мозък, идиотия, безсмислица, кретенизъм, кретенизъм]]","[542, 483, 1001, 1003, 483, 1001, 1003, 616, 484, 682, 681]","[βλακεία, χαζομάρα, ανοησία, σαχλαμάρα, μωρία, κουταμάρα, ηλιθιότητα, χαζομάρα, κουταμάρα, ιδιωτεία, μαλακία, κρετινισμός, μαλακία, ηλιθιότητα]","[1319, 2126, 1210, 1320, 1942, 1790, 1859, 1923, 2125, 1636, 1517, 1718, 1717, 1502]","[bêtise, connerie, bêtise]","[2235, 2264, 2234]","[stupidità, idiozia, idiozia, stupidità, stronzata]","[2761, 2647, 2562, 2760, 2757]",
,,VERB,[هذر] ,[120],[],[],[],[],[],[],[],[],
Insult targeting a liar/fake,Person,NOUN,"[غشاش,نصاب,زائف,منافق,مرائي,كاذب,كذاب]","[244,412,166,389,357,292,295]","[измамник, лицемер, двуличник, лъжльо, лъжец, шарлатанин]","[626, 708, 555, 718, 716, 1059]","[ψεύτης, ψευδολόγος, υποκριτής]","[2161, 2157, 2063]","[menteur, hypocrite]","[2376, 2340]","[bugiardo, ipocrita]","[2556, 2676]",
,Behavior/ Abstract Idea,NOUN,"[خديعة,خدعة,احتيال,غش,مكر,خداع,ملفق,تزييف,أكذوبة,زور,افتراء,كذبة,كذب,مختلق,بهتان,رياء,نفاق,لغو]","[141,140,37,243,386,139,388,86,15,173,49,297,296,356,74,165,414,308]","[трик, измислица, измислица, лицемерие, лъжа, лъжа, фалш, преструвка, мистификация, показност, злонамерена лъжа]","[993, 629, 630, 710, 714, 715, 1009, 890, 743, 874, 608]","[πανουργία, δολιότητα, απάτη, εξαπάτηση, ψέμα, διαβολή, υποκρισία, ψεύδος, αναλήθεια]","[1852, 1395, 1221, 447, 2150, 1375, 2062, 2160, 1195]","[fraude, tromperie, tromperie, tromperie, mensonge, hypocrisie, faux]","[2321, 2476, 2479, 2478, 2375, 2339, 2305]","[trucco, menzogna, bufala, balla, favola, falsità, falsità, ipocrisia, ipocrisia, falsità, storia, fake]","[2773, 2689, 2554, 2532, 2623, 2615, 2614, 2674, 2675, 2613, 2755, 2612]",
,,ADJ,"[تمساح ,مغالط, مزور, مضلل, مخادع, ماكر]","[378, 364, 99, 372, 354, 322]","[измамен, лицемерен, лъжлив, фалшив]","[625, 709, 717, 1010]","[ψευδής, κίβδηλος, ψεύτικος, κίβδηλος, κίβδηλος, παραπλανητικός]","[2155, 1529, 2163,  1528, 1527, 1874]",[faux],[2304],"[falso. Finto, bugiardo, ipocrita, falso]","[2617, 2629, 2557, 2677, 2616]",
,,VERB,"[يغش, خادع] ","[436, 133]",[],[],[],[],"[tromper, mentir]","[2469, 2377]",[],[],
Insult for a sex worker,Person,NOUN,"[بغي, دعاره, مومس, زاني, دعارة, شرموطة, عاهرة, عهر, فاحشة]","[71, 154, 399, 167, 153, 194, 210, 234, 254]","[лека жена, уличница, проститутка, блудница, курва, куртизанка]","[698, 1004, 900, 491, 687, 688]","πόρνη, τσούλα, πουτάνα, μοιχαλίδα, ιερόδουλη, εταίρα, πόρνη, πορνεία]","[1927, 2047, 1909, 1768, 1910, 1518, 1478, 1926, 1906]","[pute, putain, putain, chienne, poule, salope]","[2418, 2414, 2415, 2245, 2410, 2434]","[puttana, troia, squillo]","[2735, 2771, 2772, 2754]",
Insult targeting  worthless ,Person,NOUN,"[قمامة, عدم, قماءة, نتانة, خسيس, وسخ, مزيف, حقارة, حَشَرة, جيفة, كريه, مكروب, صعلوك, غلطات]","[288, 219, 287, 406, 147, 431, 265, 125, 131, 120, 299, 387, 200, 248]","[измет, лайно, кучи син, мерзавец, scoundrel, подлец]","[628, 694, 691, 734, 837, 870]","[σκύβαλο, απόβρασμα, βρώμα, αρχίδι, καθίκι, σκουπίδι, κάθαρμα, σαβούρα, λέρα, μουρντάρης, σκραπ]","[1971, 1238, 1329, 1256, 1531, 1962, 1522, 1936,  1671, 1778, 1966]","[ordures, déchets]","[2399, 2285]","[rifiuto, spazzatura, fango, fogna]","[2740, 2752, 1618, 1630]",
